time,accuracy,precision,recall,f1,log_loss,brier_score,roc_auc
2025-01-23 03:06:00+00:00,0.39,0.3055905842791089,0.3367666815942678,0.251883991778945,1.0048297916989097,0.612358775950751,0.5150754087968156
2025-01-23 06:26:00+00:00,0.47,0.28691520467836257,0.4112610275038921,0.33601291069090466,1.1204240801375707,0.6682432918262486,0.5639830893126171
2025-01-23 09:46:00+00:00,0.46,0.15333333333333335,0.3333333333333333,0.2100456621004566,1.0886847810813136,0.6554516706784626,0.48081229975332546
2025-01-23 13:06:00+00:00,0.33,0.21125730994152048,0.3274647887323944,0.24519949407841782,1.1228919653776723,0.6832326089022766,0.5140046770573252
2025-01-23 16:26:00+00:00,0.46,0.28905146964446155,0.36917562724014336,0.31799410029498526,1.0587075682403202,0.6380572631185547,0.5455288344199528
2025-01-23 19:46:00+00:00,0.77,0.25666666666666665,0.3333333333333333,0.2900188323917137,0.7578423758123148,0.4194494250183425,0.7206643579919442
2025-01-24 00:18:00+00:00,0.565,0.18833333333333332,0.3333333333333333,0.24068157614483496,0.9706222016539076,0.575038405783658,0.5857052600815126
2025-01-24 03:40:00+00:00,0.605,0.20166666666666666,0.3333333333333333,0.2512980269989616,0.928362922599326,0.5454762396431518,0.586286247024602
2025-01-24 07:16:00+00:00,0.49,0.16333333333333333,0.3333333333333333,0.21923937360178972,1.0616573295074156,0.64114934890274,0.5196244298966988
2025-01-24 10:36:00+00:00,0.48,0.16,0.3333333333333333,0.21621621621621623,1.0309618572318302,0.6205756534496386,0.6014149857963799
2025-01-24 13:56:00+00:00,0.355,0.4738869753795127,0.3972991733451126,0.3068552051462155,1.1067088739247628,0.6725895464304702,0.5666264444093695
2025-01-24 17:16:00+00:00,0.615,0.205,0.3333333333333333,0.25386996904024767,0.9496915020586889,0.558644813890353,0.49944855871376403
2025-01-24 20:36:00+00:00,0.6,0.2554347826086956,0.3335208098987627,0.28325051154633146,0.9405910038359478,0.5515513404035068,0.5511767340003124
2025-01-27 01:03:00+00:00,0.405,0.19860752225093312,0.30982905982905984,0.23073933248838194,1.0713296377843617,0.6464519831995527,0.5460511607031401
2025-01-27 04:23:00+00:00,0.44,0.14666666666666667,0.3333333333333333,0.20370370370370372,1.0786380183664375,0.6525056494524225,0.47322383134883134
2025-01-27 07:43:00+00:00,0.385,0.2698955365622033,0.37177312982852834,0.2914428929466523,1.0874084813452916,0.6609215926037472,0.5609220087551271
2025-01-27 11:03:00+00:00,0.345,0.21967115982817362,0.3282756440651178,0.2482828282828283,1.1028987191316966,0.6697169100374629,0.5010463453394961
