time,accuracy,precision,recall,f1,log_loss,brier_score,roc_auc
2025-01-23 03:06:00+00:00,0.77,0.25666666666666665,0.3333333333333333,0.2900188323917137,0.7372597754127321,0.40608999092960774,0.4902514705631851
2025-01-23 06:26:00+00:00,0.47,0.1574539363484087,0.3333333333333333,0.21387940841865757,1.091151083505742,0.6538515186560221,0.5275543794223725
2025-01-23 09:46:00+00:00,0.505,0.5284806660094206,0.39018863584080976,0.32948640710896904,1.0018228607268735,0.5975553928595151,0.6607514013644855
2025-01-23 13:06:00+00:00,0.37,0.36869606448553816,0.37625524838528895,0.36673507497180474,1.1082569100083706,0.6748136736350342,0.5320484940210338
2025-01-23 16:26:00+00:00,0.425,0.4239614689945816,0.33863723022954323,0.29156308172701617,1.096674287490539,0.6648114920403637,0.5507144977860775
2025-01-23 19:46:00+00:00,0.77,0.25666666666666665,0.3333333333333333,0.2900188323917137,0.680951622614342,0.3727528098365847,0.6580002510399812
2025-01-24 00:18:00+00:00,0.52,0.43147130647130644,0.32687410790750787,0.28716302653920406,1.0157496464363553,0.6024387327727573,0.5570194942331453
2025-01-24 03:40:00+00:00,0.615,0.7059336823734729,0.3669492124037579,0.3243589743589744,0.9326314141476816,0.5412560592389399,0.5882413764628064
2025-01-24 07:16:00+00:00,0.45,0.2324329854716595,0.31239665096807956,0.2323148637796972,1.0517450370182015,0.6373069384762947,0.5375176447848716
2025-01-24 10:36:00+00:00,0.51,0.5388685388685389,0.3808883768561188,0.325566887004067,1.0389132735530766,0.6213711467658655,0.5773391830593942
2025-01-24 13:56:00+00:00,0.32,0.31956965981488156,0.3160885691648612,0.30773122991527896,1.1201368749056388,0.6811718149984669,0.46591895869569355
2025-01-24 17:16:00+00:00,0.615,0.205,0.3333333333333333,0.25386996904024767,0.9694799809603143,0.57376739844003,0.46790524661781224
2025-01-24 20:36:00+00:00,0.56,0.24695839214895476,0.32180352455943007,0.27893559401860357,0.9702454656284106,0.5720618796706504,0.5556219645137164
2025-01-27 01:03:00+00:00,0.455,0.45965608465608465,0.36595383214235677,0.3287032487032487,1.0427045155103358,0.6277091831423379,0.6115779134121795
2025-01-27 04:23:00+00:00,0.44,0.31313131313131315,0.335955710955711,0.21514288180954852,1.0988561754447577,0.6636700561357946,0.5528286372036372
2025-01-27 07:43:00+00:00,0.335,0.3791569286201188,0.36225498011817964,0.2731287088581942,1.1333932181781088,0.6905010583208367,0.5233993006672646
2025-01-27 11:03:00+00:00,0.335,0.3524808524808525,0.33992001154472545,0.334206875112204,1.1231309876275253,0.6824442340418534,0.5055635336348736
2025-01-27 14:23:00+00:00,0.35,0.3445379068782237,0.3196582685234969,0.317174303576947,1.1010372168245388,0.6676772754067258,0.5009131674886681
2025-01-27 17:43:00+00:00,0.55,0.605449398443029,0.38650793650793647,0.3278903417607579,0.9532098191715851,0.5589541993091118,0.6325688431938432
2025-01-27 21:03:00+00:00,0.54,0.2594594594594595,0.32061743506051954,0.2524619100706057,1.0156120410481153,0.6031029441068612,0.5080204708680801
2025-01-28 01:30:00+00:00,0.615,0.3421052631578947,0.3668032786885245,0.31776556776556775,0.9521612123228985,0.5629360812940882,0.5324204598388267
2025-01-28 04:50:00+00:00,0.47,0.15666666666666665,0.3333333333333333,0.21315192743764175,1.0950082077625505,0.6622622698704886,0.4791247248819779
2025-01-28 08:10:00+00:00,0.53,0.37616161616161614,0.380176529894044,0.3564697012534163,0.997315864209796,0.5940760621727952,0.6307447478135723
2025-01-28 11:30:00+00:00,0.395,0.391370187921912,0.3828017498100265,0.3560467949681702,1.0879585557614695,0.6595129711775165,0.5679049695807811
2025-01-28 14:50:00+00:00,0.365,0.3108489614841702,0.3397191088971911,0.31191358252614393,1.1268947257313005,0.6863938285027402,0.4891381379053014
2025-01-28 18:10:00+00:00,0.7,0.2333333333333333,0.3333333333333333,0.2745098039215686,0.8995051380644017,0.5171683742377353,0.3768246848394645
2025-01-28 21:30:00+00:00,0.815,0.27166666666666667,0.3333333333333333,0.29935720844811753,0.7183019500617382,0.3876131447932367,0.3549946225095814
2025-01-29 01:59:00+00:00,0.73,0.24333333333333332,0.3333333333333333,0.2813102119460501,0.7785133315097161,0.43678144683249465,0.48970232142560377
2025-01-29 05:23:00+00:00,0.585,0.19597989949748743,0.3305084745762712,0.24605678233438485,0.9660510920595562,0.5712484705863424,0.5327375878094237
2025-01-29 08:43:00+00:00,0.685,0.22948073701842545,0.33091787439613524,0.27101879327398615,0.876315281187062,0.508629168813598,0.5392638339752234
2025-01-29 12:03:00+00:00,0.445,0.4237247583500814,0.4232694763729246,0.415587886862246,1.0751016284496269,0.6492998477626881,0.5871450895973254
2025-01-29 15:23:00+00:00,0.34,0.3220811586025298,0.35758281608649,0.27640605296343,1.1127695124018124,0.6782696169756196,0.527477305085068
2025-01-29 18:43:00+00:00,0.44,0.42326899068472096,0.41562619879993346,0.41057929376286245,1.0376547347107699,0.6202282012025048,0.6256209897646636
2025-01-29 23:08:00+00:00,0.68,0.22666666666666668,0.3333333333333333,0.2698412698412698,0.8609089026624804,0.4931312266330221,0.4981115639026694
2025-01-30 02:28:00+00:00,0.85,0.2833333333333333,0.3333333333333333,0.30630630630630634,0.5787631916014571,0.297077047704387,0.506882176293941
2025-01-30 05:48:00+00:00,0.55,0.18707482993197277,0.3273809523809524,0.2380952380952381,1.0153938034373249,0.6078006675421919,0.5356570333808536
2025-01-30 09:08:00+00:00,0.615,0.205,0.3333333333333333,0.25386996904024767,0.9419078276665235,0.5527940800530616,0.4973167577425108
